24chasa
24chasa 	2017-06-21 	3 	219 	344000
24chasa 	2017-06-22 	4 	44 	54993
24chasa 	2017-06-27 	2 	19 	37771
24chasa 	2017-06-28 	3 	76 	118157
24chasa 	2017-06-29 	4 	85 	99259
24chasa 	2017-06-30 	5 	105 	166429
24chasa 	2017-07-01 	6 	70 	83748
24chasa 	2017-07-02 	7 	1 	549
24chasa 	2017-07-03 	1 	22 	32290
24chasa 	2017-07-04 	2 	31 	57014
24chasa 	2017-07-05 	3 	22 	24586
24chasa 	2017-07-06 	4 	48 	169718
24chasa 	2017-07-07 	5 	11 	9742
24chasa 	2017-07-09 	7 	35 	52993
24chasa 	2017-07-10 	1 	59 	81196
24chasa 	2017-07-13 	4 	111 	135813
24chasa 	2017-07-14 	5 	112 	138210
24chasa 	2017-07-15 	6 	83 	100431
24chasa 	2017-07-19 	3 	79 	101618
24chasa 	2017-07-20 	4 	134 	198157
24chasa 	2017-07-21 	5 	112 	151996
24chasa 	2017-07-22 	6 	20 	32696
24chasa 	2017-07-26 	3 	111 	148901
24chasa 	2017-07-27 	4 	36 	37134
24chasa 	2017-08-04 	5 	124 	171039
24chasa 	2017-08-05 	6 	17 	24963
24chasa 	2017-08-06 	7 	5 	5686
24chasa 	2017-08-07 	1 	112 	135254
24chasa 	2017-08-08 	2 	94 	139934
24chasa 	2017-08-09 	3 	112 	168959
24chasa 	2017-08-10 	4 	74 	93462
24chasa 	2017-08-11 	5 	103 	124658
24chasa 	2017-08-12 	6 	50 	75634
24chasa 	2017-08-13 	7 	67 	74320
24chasa 	2017-08-14 	1 	75 	82499
24chasa 	2017-08-15 	2 	73 	94616
24chasa 	2017-08-16 	3 	89 	136019
24chasa 	2017-08-17 	4 	115 	128859
24chasa 	2017-08-18 	5 	3 	1443
24chasa 	2017-08-19 	6 	78 	109018
24chasa 	2017-08-20 	7 	60 	64008
24chasa 	2017-08-21 	1 	110 	136534
24chasa 	2017-08-22 	2 	152 	201363
24chasa 	2017-08-23 	3 	54 	67138
24chasa 	2017-08-24 	4 	75 	86942
24chasa 	2017-08-25 	5 	132 	200494
24chasa 	2017-08-26 	6 	37 	68818
24chasa 	2017-08-27 	7 	54 	76049
24chasa 	2017-08-28 	1 	92 	112838
24chasa 	2017-08-29 	2 	99 	152432
24chasa 	2017-08-30 	3 	77 	128470
24chasa 	2017-08-31 	4 	92 	157387
24chasa 	2017-09-01 	5 	116 	139068
24chasa 	2017-09-02 	6 	53 	62475
24chasa 	2017-09-03 	7 	56 	58656
24chasa 	2017-09-04 	1 	105 	153427
24chasa 	2017-09-05 	2 	93 	139252
24chasa 	2017-09-06 	3 	79 	95745
24chasa 	2017-09-07 	4 	56 	74303
24chasa 	2017-09-08 	5 	94 	121531
24chasa 	2017-09-09 	6 	68 	102159
24chasa 	2017-09-10 	7 	52 	71981
24chasa 	2017-09-11 	1 	112 	132798
24chasa 	2017-09-12 	2 	111 	147473
24chasa 	2017-09-13 	3 	111 	185191
24chasa 	2017-09-14 	4 	112 	136826
24chasa 	2017-09-15 	5 	94 	119668
24chasa 	2017-09-16 	6 	101 	128646
24chasa 	2017-09-17 	7 	52 	54551
24chasa 	2017-09-18 	1 	111 	162632
24chasa 	2017-09-19 	2 	110 	173982
24chasa 	2017-09-20 	3 	160 	229829
24chasa 	2017-09-21 	4 	111 	192853
24chasa 	2017-09-22 	5 	96 	162652
24chasa 	2017-09-23 	6 	91 	130272
24chasa 	2017-09-24 	7 	81 	108495
24chasa 	2017-09-25 	1 	111 	144167
24chasa 	2017-09-26 	2 	111 	165592
24chasa 	2017-09-27 	3 	111 	197758
24chasa 	2017-09-28 	4 	110 	161612
24chasa 	2017-09-30 	6 	64 	111172
24chasa 	2017-10-01 	7 	80 	107359
24chasa 	2017-10-02 	1 	110 	149066
24chasa 	2017-10-03 	2 	111 	149075
24chasa 	2017-10-04 	3 	112 	171430
24chasa 	2017-10-05 	4 	112 	126574
24chasa 	2017-10-06 	5 	111 	169532
24chasa 	2017-10-07 	6 	63 	87825
24chasa 	2017-10-08 	7 	72 	100018
24chasa 	2017-10-09 	1 	110 	135043
24chasa 	2017-10-10 	2 	112 	171403
24chasa 	2017-10-11 	3 	112 	193521
24chasa 	2017-10-12 	4 	111 	168309
24chasa 	2017-10-13 	5 	111 	145912
24chasa 	2017-10-14 	6 	94 	111840
24chasa 	2017-10-15 	7 	104 	161929
24chasa 	2017-10-16 	1 	111 	165051
24chasa 	2017-10-17 	2 	112 	178928
24chasa 	2017-10-18 	3 	111 	200003
24chasa 	2017-10-19 	4 	111 	133081
24chasa 	2017-10-20 	5 	112 	179540
24chasa 	2017-10-21 	6 	75 	124521
24chasa 	2017-10-22 	7 	81 	120645
24chasa 	2017-10-23 	1 	111 	167435
24chasa 	2017-10-24 	2 	111 	200242
24chasa 	2017-10-25 	3 	111 	151174
24chasa 	2017-10-26 	4 	112 	183138
24chasa 	2017-10-27 	5 	112 	182662
24chasa 	2017-10-28 	6 	97 	162528
24chasa 	2017-10-29 	7 	84 	118995
24chasa 	2017-10-30 	1 	111 	248924
24chasa 	2017-10-31 	2 	111 	155877
24chasa 	2017-11-01 	3 	112 	195306
24chasa 	2017-11-02 	4 	11 	24093
24chasa 	2017-11-03 	5 	112 	157451
24chasa 	2017-11-04 	6 	72 	162646
24chasa 	2017-11-05 	7 	76 	107281
24chasa 	2017-11-06 	1 	111 	155910
24chasa 	2017-11-07 	2 	112 	213168
24chasa 	2017-11-08 	3 	112 	174919
24chasa 	2017-11-09 	4 	111 	246589
24chasa 	2017-11-10 	5 	135 	182350
24chasa 	2017-11-11 	6 	66 	114393
24chasa 	2017-11-12 	7 	83 	121683
24chasa 	2017-11-13 	1 	111 	149736
24chasa 	2017-11-14 	2 	112 	168279
24chasa 	2017-11-15 	3 	112 	145398
24chasa 	2017-11-16 	4 	112 	168812
24chasa 	2017-11-17 	5 	112 	165939
24chasa 	2017-11-18 	6 	74 	92312
24chasa 	2017-11-19 	7 	78 	138274
24chasa 	2017-11-20 	1 	111 	133811
24chasa 	2017-11-21 	2 	112 	168230
24chasa 	2017-11-22 	3 	112 	208906
24chasa 	2017-11-23 	4 	111 	184735
24chasa 	2017-11-24 	5 	112 	174922
24chasa 	2017-11-25 	6 	96 	160960
24chasa 	2017-11-26 	7 	101 	160494
24chasa 	2017-11-27 	1 	112 	168646
24chasa 	2017-11-28 	2 	111 	202854
24chasa 	2017-11-29 	3 	111 	146566
24chasa 	2017-11-30 	4 	112 	167935
24chasa 	2017-12-01 	5 	112 	157978
24chasa 	2017-12-02 	6 	80 	134079
24chasa 	2017-12-03 	7 	90 	162679
24chasa 	2017-12-04 	1 	112 	161849
24chasa 	2017-12-05 	2 	111 	193195
24chasa 	2017-12-06 	3 	112 	248051
24chasa 	2017-12-07 	4 	112 	167540
24chasa 	2017-12-08 	5 	111 	160235
24chasa 	2017-12-09 	6 	82 	134397
24chasa 	2017-12-10 	7 	88 	111131
24chasa 	2017-12-11 	1 	112 	158533
24chasa 	2017-12-12 	2 	111 	191094
24chasa 	2017-12-13 	3 	112 	231301
24chasa 	2017-12-14 	4 	112 	186422
24chasa 	2017-12-15 	5 	112 	162813
24chasa 	2017-12-16 	6 	87 	170084
24chasa 	2017-12-17 	7 	65 	87675
24chasa 	2017-12-18 	1 	112 	166950
24chasa 	2017-12-19 	2 	112 	174269
24chasa 	2017-12-20 	3 	111 	213209
24chasa 	2017-12-21 	4 	112 	129313
24chasa 	2017-12-22 	5 	112 	166393
24chasa 	2017-12-23 	6 	65 	106000
24chasa 	2017-12-24 	7 	38 	71350
24chasa 	2017-12-25 	1 	74 	92666
24chasa 	2017-12-26 	2 	75 	119271
24chasa 	2017-12-27 	3 	68 	139552
24chasa 	2017-12-28 	4 	112 	210264
24chasa 	2017-12-29 	5 	111 	200901
24chasa 	2017-12-30 	6 	83 	194201
24chasa 	2018-01-01 	1 	81 	114261
24chasa 	2018-01-02 	2 	112 	180845
24chasa 	2018-01-03 	3 	112 	210657
24chasa 	2018-01-04 	4 	110 	147954
24chasa 	2018-01-05 	5 	112 	163266
24chasa 	2018-01-06 	6 	83 	119970
24chasa 	2018-01-07 	7 	86 	128464
24chasa 	2018-01-08 	1 	112 	155668
24chasa 	2018-01-09 	2 	111 	165068
24chasa 	2018-01-10 	3 	112 	183963
24chasa 	2018-01-11 	4 	112 	161172
24chasa 	2018-01-12 	5 	111 	209605
24chasa 	2018-01-13 	6 	88 	158761
24chasa 	2018-01-14 	7 	72 	132967
24chasa 	2018-01-15 	1 	112 	177656
24chasa 	2018-01-16 	2 	112 	151907
24chasa 	2018-01-17 	3 	112 	161897
24chasa 	2018-01-18 	4 	112 	223059
24chasa 	2018-01-19 	5 	111 	176621
24chasa 	2018-01-20 	6 	67 	118277
24chasa 	2018-01-21 	7 	64 	92271
24chasa 	2018-01-22 	1 	111 	171527
24chasa 	2018-01-23 	2 	112 	155501
24chasa 	2018-01-24 	3 	112 	174885
24chasa 	2018-01-25 	4 	110 	166978
24chasa 	2018-01-26 	5 	112 	173368
24chasa 	2018-01-27 	6 	70 	132556
24chasa 	2018-01-28 	7 	85 	109962
24chasa 	2018-01-29 	1 	112 	188283
24chasa 	2018-01-30 	2 	112 	193319
24chasa 	2018-01-31 	3 	112 	193765
24chasa 	2018-02-01 	4 	112 	172174
24chasa 	2018-02-02 	5 	111 	149598
24chasa 	2018-02-03 	6 	71 	97993
24chasa 	2018-02-04 	7 	76 	88040
24chasa 	2018-02-05 	1 	112 	190137
24chasa 	2018-02-06 	2 	111 	166858
24chasa 	2018-02-07 	3 	112 	173579
24chasa 	2018-02-08 	4 	112 	156343
24chasa 	2018-02-10 	6 	75 	98287
24chasa 	2018-02-11 	7 	68 	83553
24chasa 	2018-02-12 	1 	111 	182111
24chasa 	2018-02-13 	2 	112 	173441
24chasa 	2018-02-14 	3 	112 	168073
24chasa 	2018-02-15 	4 	112 	176641
24chasa 	2018-02-16 	5 	112 	172372
24chasa 	2018-02-17 	6 	82 	153868
24chasa 	2018-02-18 	7 	87 	107141
24chasa 	2018-02-19 	1 	111 	161140
24chasa 	2018-02-20 	2 	111 	191367
24chasa 	2018-02-21 	3 	111 	242037
24chasa 	2018-02-22 	4 	111 	161954
24chasa 	2018-02-23 	5 	111 	177192
24chasa 	2018-02-24 	6 	93 	181371
24chasa 	2018-02-25 	7 	64 	78860
24chasa 	2018-02-26 	1 	112 	161921
24chasa 	2018-02-27 	2 	112 	159913
24chasa 	2018-02-28 	3 	112 	151366
24chasa 	2018-03-01 	4 	111 	199893
24chasa 	2018-03-02 	5 	112 	179898
24chasa 	2018-03-03 	6 	92 	144679
24chasa 	2018-03-04 	7 	84 	125484
24chasa 	2018-03-05 	1 	66 	115526
24chasa 	2018-03-06 	2 	112 	156812
24chasa 	2018-03-07 	3 	112 	188943
24chasa 	2018-03-08 	4 	112 	168998
24chasa 	2018-03-09 	5 	112 	160852
24chasa 	2018-03-10 	6 	74 	127650
24chasa 	2018-03-11 	7 	74 	95911
24chasa 	2018-03-12 	1 	112 	163619
24chasa 	2018-03-13 	2 	112 	178534
24chasa 	2018-03-14 	3 	112 	202278
24chasa 	2018-03-15 	4 	112 	171014
24chasa 	2018-03-16 	5 	112 	194443
24chasa 	2018-03-17 	6 	94 	157777
24chasa 	2018-03-18 	7 	89 	150106
24chasa 	2018-03-19 	1 	112 	178720
24chasa 	2018-03-20 	2 	112 	160276
24chasa 	2018-03-21 	3 	111 	194608
24chasa 	2018-03-22 	4 	112 	162048
24chasa 	2018-03-23 	5 	111 	183608
24chasa 	2018-03-24 	6 	92 	158330
24chasa 	2018-03-24 	6 	0 	0
24chasa 	2018-03-24 	6 	0 	0
24chasa 	2018-03-24 	6 	0 	0
24chasa 	2018-03-24 	6 	0 	0
24chasa 	2018-03-24 	6 	0 	0
24chasa 	2018-03-24 	6 	0 	0
24chasa 	2018-03-24 	6 	0 	0
24chasa 	2018-03-24 	6 	0 	0
24chasa 	2018-04-02 	1 	183 	293172
24chasa 	2018-04-03 	2 	112 	242791
24chasa 	2018-04-04 	3 	112 	163681
24chasa 	2018-04-05 	4 	112 	176247
24chasa 	2018-04-06 	5 	104 	143257
24chasa 	2018-04-07 	6 	69 	89277
24chasa 	2018-04-08 	7 	82 	119776
24chasa 	2018-04-09 	1 	100 	151361
24chasa 	2018-04-10 	2 	112 	159801
24chasa 	2018-04-11 	3 	112 	184243
24chasa 	2018-04-12 	4 	112 	174489
24chasa 	2018-04-13 	5 	112 	178372
24chasa 	2018-04-14 	6 	112 	150722
24chasa 	2018-04-15 	7 	94 	148199
24chasa 	2018-04-16 	1 	112 	169712
24chasa 	2018-04-17 	2 	112 	234665
24chasa 	2018-04-18 	3 	111 	197318
24chasa 	2018-04-19 	4 	112 	180626
24chasa 	2018-04-20 	5 	111 	180247
24chasa 	2018-04-21 	6 	75 	139456
24chasa 	2018-04-22 	7 	79 	188494
24chasa 	2018-04-23 	1 	112 	171665
24chasa 	2018-04-24 	2 	112 	189267
24chasa 	2018-04-25 	3 	112 	174913
24chasa 	2018-04-26 	4 	112 	265804
24chasa 	2018-04-27 	5 	112 	312636
24chasa 	2018-04-28 	6 	89 	146046
24chasa 	2018-04-29 	7 	73 	91669
24chasa 	2018-04-30 	1 	112 	208528
24chasa 	2018-05-01 	2 	100 	162795
24chasa 	2018-05-02 	3 	112 	186048
24chasa 	2018-05-03 	4 	112 	209520
24chasa 	2018-05-04 	5 	112 	252681
24chasa 	2018-05-05 	6 	87 	141128
24chasa 	2018-05-06 	7 	92 	165939
24chasa 	2018-05-07 	1 	78 	124932
