  Date\Src,   24chasa,  Actualno,   BgOnAir,     Blitz,     Bnews,    Classa,     ClubZ,     Cross,      Dnes,   Dnevnik,      Duma, Epicenter,    Faktor,     Focus, Mediapool,   Monitor,      News,  Novinite,   OffNews,       PIK,StandartNews,      Trud
2018-06-01,       112,       109,        34,        10,        64,        33,        46,        79,        83,        80,        53,        83,        49,       476,        43,       124,        83,        36,        71,       146,        34,        30
2018-06-02,        91,        45,        18,        48,        36,        32,        30,        54,        63,        49,         0,        49,        38,       280,        19,        51,        50,        37,        43,       143,        38,        68
2018-06-03,        96,        47,         7,        35,        36,        28,        33,        51,        51,        50,         0,        41,        32,       241,        24,        70,        48,        33,        40,       141,        19,        33
2018-06-04,       111,       123,        29,        64,        60,        41,        43,        71,        84,        88,        44,        71,        97,       398,        46,        98,        99,        42,        62,       219,        31,        70
2018-06-05,       111,       119,        43,        49,        66,        33,        51,        73,        97,        94,        42,        91,        91,       393,        57,       117,        93,        73,        69,       201,        40,        69
2018-06-06,       112,       130,        37,        32,        62,        32,        45,        69,       104,       112,        52,        83,        85,       456,        52,        96,       101,        24,        65,       208,        47,        71
2018-06-07,       112,        58,        32,        18,        60,        32,        48,        76,        98,       111,        57,        87,        87,       612,        48,        98,       107,        42,        64,       195,        43,        71
2018-06-08,       112,       118,        20,        38,        62,        32,        46,        74,        90,       108,        57,        81,        83,       389,        51,        93,       112,        28,        61,       172,        36,        33
2018-06-09,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-10,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-11,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-12,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-13,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-14,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-15,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-16,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-17,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-18,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-19,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-20,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-21,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-22,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-23,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-24,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-25,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-26,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-27,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-28,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-29,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
2018-06-30,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0,         0
